file,snapshot,rx,ry,true,prob_v3,prob_v4,max_tilt,ok_v3,ok_v4
snapshot_442_X00_Y00.png,snapshot_442,0,0,0,0.014884786,0.030758655,0,True,True
snapshot_442_X00_Y10.png,snapshot_442,0,10,0,0.00068160647,0.007959148,10,True,True
snapshot_442_X00_Y20.png,snapshot_442,0,20,0,0.019878814,0.58955467,20,True,False
snapshot_442_X00_Y30.png,snapshot_442,0,30,0,0.6396922,0.1516728,30,False,True
snapshot_442_X00_Y40.png,snapshot_442,0,40,0,0.84626603,0.36149073,40,False,True
snapshot_442_X10_Y00.png,snapshot_442,10,0,0,0.13936533,0.0058574895,10,True,True
snapshot_442_X10_Y10.png,snapshot_442,10,10,0,0.030054009,0.024399396,10,True,True
snapshot_442_X10_Y20.png,snapshot_442,10,20,0,0.21747977,0.004661004,20,True,True
snapshot_442_X10_Y30.png,snapshot_442,10,30,0,0.07844826,0.045652945,30,True,True
snapshot_442_X10_Y40.png,snapshot_442,10,40,0,0.18479607,0.92017806,40,True,False
snapshot_442_X20_Y00.png,snapshot_442,20,0,0,0.16140899,0.1163688,20,True,True
snapshot_442_X20_Y10.png,snapshot_442,20,10,0,0.0131182335,0.29025796,20,True,True
snapshot_442_X20_Y20.png,snapshot_442,20,20,0,0.22227699,0.54547524,20,True,False
snapshot_442_X20_Y30.png,snapshot_442,20,30,0,0.030176982,0.04496516,30,True,True
snapshot_442_X20_Y40.png,snapshot_442,20,40,0,0.0063790074,0.4364883,40,True,True
snapshot_442_X30_Y00.png,snapshot_442,30,0,0,0.21643804,0.081546895,30,True,True
snapshot_442_X30_Y10.png,snapshot_442,30,10,0,0.71403974,0.053596474,30,False,True
snapshot_442_X30_Y20.png,snapshot_442,30,20,0,0.87688756,0.28635392,30,False,True
snapshot_442_X30_Y30.png,snapshot_442,30,30,0,0.3326011,0.52888215,30,True,False
snapshot_442_X30_Y40.png,snapshot_442,30,40,0,0.16382872,0.73781013,40,True,False
snapshot_442_X40_Y00.png,snapshot_442,40,0,0,0.000950475,0.08080443,40,True,True
snapshot_442_X40_Y10.png,snapshot_442,40,10,0,0.12568106,0.059648428,40,True,True
snapshot_442_X40_Y20.png,snapshot_442,40,20,0,0.49330154,0.43132457,40,True,True
snapshot_442_X40_Y30.png,snapshot_442,40,30,0,0.8272642,0.72975576,40,False,False
snapshot_442_X40_Y40.png,snapshot_442,40,40,0,0.59127516,0.819162,40,False,False
snapshot_443_X00_Y00.png,snapshot_443,0,0,0,0.0015526814,0.001992836,0,True,True
snapshot_443_X00_Y10.png,snapshot_443,0,10,0,0.00048000232,0.02842867,10,True,True
snapshot_443_X00_Y20.png,snapshot_443,0,20,0,0.011022789,0.054836098,20,True,True
snapshot_443_X00_Y30.png,snapshot_443,0,30,0,0.584401,0.6352272,30,False,False
snapshot_443_X00_Y40.png,snapshot_443,0,40,0,0.5547831,0.47828233,40,False,True
snapshot_443_X10_Y00.png,snapshot_443,10,0,0,0.00018824132,0.0035127816,10,True,True
snapshot_443_X10_Y10.png,snapshot_443,10,10,0,0.20247404,0.003667984,10,True,True
snapshot_443_X10_Y20.png,snapshot_443,10,20,0,0.034601312,0.20877483,20,True,True
snapshot_443_X10_Y30.png,snapshot_443,10,30,0,0.17232682,0.75923276,30,True,False
